name; 							colourString; 			position
blue;							w1 b2 b4; 				0, 0.6, 1
red;							w1 r2 r4; 				0, 0.4, 1
cyan;							w1 c2 c4; 				0, 0.4, 1
green;							w1 g2 g4; 				0, 0.4, 1
pink;							w1 p2 p4; 				0, 0.6, 1
yellow;							w1 y2 y4; 				0, 0.4, 1
temperature; 					c4 b3 b2 c1 y1 y4 p4; 	-1, -0.8, -0.6, -0.2, 0.1, 0.5, 1
temperature anomaly; 			c4 b2 w1 y3 p4; 		-1, -0.7, 0, 0.4, 1
warm;							w1 y3 r3 p4; 			0, 0.3, 0.6, 1
cold;							w1 b2 b3 c4; 			0, 0.4, 0.7, 1
seismic;						b4 b2 w1 r2 r4; 		-1, -0.6, 0, 0.4, 1